Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
EC10A26,10.081,0.174,407,155.382,70.711,0.239,648.927,108.155,55.812,53514.233,5994.441,74392.709,6359.184,24286.651,4172.559,28664.164,4549.543
EC10B26,9.846,0.257,528,153.505,100,0.224,685.917,114.319,40.78,41038.497,7285.978,52117.296,6555,19523.89,4729.559,20928.142,4575.006
EC11A13,9.816,0.302,390,999.856,50,0.299,3340.374,556.729,318.006,64299.529,12049.749,75996.602,9183.169,19297.399,6482.168,22885.759,6969.955
EC11A28,9.862,0.221,558,1454.826,50,0.234,6221.791,1036.965,384.084,52924.798,8495.164,70576.173,8584.267,19711.379,4485.536,22983.898,4620.35
EC11A36,9.863,0.224,535,168.811,100,0.223,756.613,126.102,59.809,54866.411,8960.107,70526.259,7867.3,19754.897,4443.933,22196.407,4228.185
EC12B26,10.281,0.219,552,559.036,50,0.278,2011.505,335.251,174.571,80307.041,9575.718,91475.356,9298.842,29935.325,6917.419,32795.796,7632.453
EC13B23,9.677,0.166,402,1191.34,50,0.276,4313.113,718.852,353.792,55892.378,4808.705,72383.297,4478.775,16211.821,2659.217,20310.174,3109.83
EC14A16,9.801,0.283,567,1176.708,50,0.235,5000.838,833.473,330.681,57512.292,7302.491,73269.162,6999.883,18805.921,5224.27,20584.841,5486.955
EC16B26,9.693,0.26,458,669.55,50,0.286,2337.214,389.536,191.059,65139.641,5377.672,71163.724,6810.957,16791.115,4254.284,18856.422,4152.588
EC16B46,9.699,0.236,478,1022.728,50,0.249,4109.122,684.854,298.151,73664.754,6970.506,85675.447,7575.124,16795.439,4117.845,21515.028,4348.242
EC22A13,9.468,0.199,337,1218.099,50,0.291,4182.184,697.031,435.317,40387.588,5903.738,57930.865,7566.62,13245.772,2578.053,14837.758,2847.206
EC23A23,9.681,0.213,379,1459.546,70.711,0.227,6421.239,1070.207,452.044,36028.673,5332.61,49456.741,6128.48,16422.987,3444.307,23014.52,4196.106
EC23B26,9.626,0.227,539,89.135,50,0.262,340.416,56.736,28.191,63254.046,11710.724,72469.225,10368.556,15580.603,3602.047,17413.287,3685.19
EC2A26,9.804,0.275,472,457.936,50,0.266,1724.657,287.443,133.83,64744.334,6078.274,78297.823,5553.668,18841.934,5419.072,22120.778,4567.14
EC2A43,9.314,0.278,330,1163.725,50,0.332,3509.945,584.991,410.739,42286.534,8644.003,54050.905,8762.824,11587.931,3310.269,15302.07,3861.617
EC2B13,9.891,0.46,404,118.622,70.711,0.264,449.113,74.852,43.752,51280.22,13893.371,60335.161,12321.958,22128.031,11000.876,25077.634,10705.885
EC2B26,9.813,0.448,510,1091.899,50,0.27,4046.511,674.419,308.369,79291.491,8740.759,89638.656,8944.421,20230.043,9025.908,24223.164,10115.257
DC21B13,9.689,0.322,229,945.494,50,0.366,2583.16,430.527,364.5,45369.147,8446.37,60027.104,13637.548,17100.375,5807.92,26018.445,7191.348
ER10A13,9.592,0.184,331,124.869,100,0.281,444.311,74.052,40.713,78204.929,8359.121,83278.244,5460.988,14965.305,2795.14,18377.637,2784.595
ER10A26,9.354,0.285,435,138.782,50,0.233,596.074,99.346,31.398,42183.528,16981.674,49576.101,14062.743,12044.626,3460.384,13612.487,3559.231
