Photo_Name,lumMean_UV_CLAW,lumSD_UV_CLAW,area_CLAW,maxPower_CLAW,maxFreq_CLAW,propPower_CLAW,sumPower_CLAW,meanPower_CLAW,powerSD_CLAW,G_Mean_CLAW,G_SD_CLAW,B_Mean_CLAW,B_SD_CLAW,UVB_Mean_CLAW,UVB_SD_CLAW,UVR_Mean_CLAW,UVR_SD_CLAW,Comb_UVB_UVR_Mean,UVB_UVR_div2
ER10A13,9.655,0.162,281,107.84,100,0.256,421.593,70.266,39.184,85391.762,9942.86,83469.186,7314.718,15859.321,2614.46,19359.87,2971.474,35219.191,17609.5955
ER10A26,9.706,0.176,331,98.789,100,0.238,415.942,69.324,26.924,66521.376,10488.269,68639.363,10736.928,16705.521,2860.944,18507.517,2943.94,35213.038,17606.519
ER10A38,9.493,0.263,394,67.859,50,0.216,313.861,52.31,18.479,76131.245,16237.79,82792.737,16668.688,13779.494,3907.987,15802.029,4107.856,29581.523,14790.7615
ER10B16,9.853,0.244,326,83.405,50,0.335,248.68,41.447,24.82,73774.354,11647.493,74646.35,8212.91,19629.995,4574.478,23187.213,4491.351,42817.208,21408.604
ER11A13,9.717,0.262,289,59.981,50,0.205,292.248,48.708,11.634,71977.785,18899.09,77941.629,12884.621,17275.956,4864.705,20583.79,5706.489,37859.746,18929.873
ER12B16,9.78,0.281,394,110.673,50,0.259,427.724,71.287,26.362,54117.147,15043.157,69232.342,17307.593,18396.995,4957.32,19952.45,4473.202,38349.445,19174.7225
ER13A16,9.934,0.265,359,71.178,50,0.257,277.294,46.216,27.197,68414.672,21483.82,69399.175,17847.811,21444.454,5682.201,25219.82,5976.406,46664.274,23332.137
ER13A26,9.659,0.176,365,88.489,50,0.21,421.116,70.186,15.816,58836.171,16110.536,63579.253,14428.372,15948.275,2788.454,18802.272,2826.591,34750.547,17375.2735
ER15A26,9.505,0.221,375,121.974,50,0.236,517.29,86.215,24.233,65202.923,13175.445,72252.928,14184.407,13804.003,2904.55,15993.653,2712.312,29797.656,14898.828
ER15B13,9.814,0.269,331,117.207,100,0.255,460.342,76.724,39.915,57994.565,17451.279,61664.898,14210.113,19042.287,5040.082,21953.349,5436.091,40995.636,20497.818
ER16A26,9.703,0.351,328,57.625,100,0.239,240.65,40.108,21.488,60568.377,24502.674,67041.841,21618.662,17336.697,5291.338,20272.213,5527.24,37608.91,18804.455
ER16A43,9.686,0.295,301,89.909,50,0.291,308.68,51.447,30.461,57183.121,21788.531,62364.935,18455.47,16832.983,4816.725,19211.597,4703.019,36044.58,18022.29
ER17B16,9.586,0.171,373,33.538,70.711,0.23,145.999,24.333,11.93,61455.693,16213.422,66631.471,14306.545,14802.726,2505.439,18010.608,2646.118,32813.334,16406.667
ER18B26,9.724,0.187,350,77.717,50,0.308,252.725,42.121,23.452,57882.431,12626.819,57680.024,12412.935,17060.466,3390.65,19174.307,3346.275,36234.773,18117.3865
ER18B63,9.689,0.187,310,149.867,50,0.335,446.958,74.493,53.66,62532.296,13428.209,68260.979,11558.251,16478.723,3051.075,19163.675,2980.492,35642.398,17821.199
ER19A66,9.849,0.277,412,107.951,50,0.246,438.632,73.105,23.296,55976.319,18056.461,68649.768,19959.635,19682.198,5178.326,23633.217,5179.007,43315.415,21657.7075
ER1A26,9.676,0.222,309,147.98,50,0.302,490.05,81.675,58.686,59966.807,7702.492,65659.182,8003.859,16370.642,3552.848,19762.326,4054.455,36132.968,18066.484
ER20A26,9.696,0.273,344,83.538,200,0.271,308.564,51.427,20.063,68938.36,18096.034,75210.198,18764.871,16867.444,4192.784,19368.192,4628.31,36235.636,18117.818
ER20B13,9.574,0.23,268,53.645,50,0.379,141.589,23.598,20.591,53526.581,19410.219,56557.494,17271.545,14820.804,3197.122,17440.409,3082.329,32261.213,16130.6065
ER20B26,9.836,0.197,338,138.652,50,0.315,439.793,73.299,38.728,63751.926,10642.148,70882.272,11498.026,19095.057,3576.665,21113.051,3765.608,40208.108,20104.054
ER21B13,9.467,0.194,333,42.365,50,0.349,121.52,20.253,14.821,46523.942,15017.563,54780.275,11823.629,13187.65,2420.513,15361.2,2400.261,28548.85,14274.425
ER21B26,9.982,0.267,390,76.329,200,0.214,355.992,59.332,14.858,82533.273,20205.17,88481.681,17979.568,22415.125,5683.163,25812.387,5852.216,48227.512,24113.756
ER22A26,9.5,0.26,292,38.536,70.711,0.296,130.348,21.725,11.76,59332.182,7378.902,63312.281,5410.789,13829.896,3379.65,16436.135,3691.225,30266.031,15133.0155
ER22B16,9.996,0.251,295,73.377,50,0.265,277.254,46.209,16.19,73702.723,16655.237,81243.285,17636.978,22698.688,5633.61,26396.73,5866.199,49095.418,24547.709
