Label,lumMean_UV_PETAL ,lumSD_UV_PETAL ,area_PETAL ,maxPower_PETAL ,maxFreq_PETAL ,propPower_PETAL ,sumPower_PETAL ,meanPower_PETAL ,powerSD_PETAL ,G_Mean_PETAL ,G_SD_PETAL ,B_Mean_PETAL ,B_SD_PETAL ,UVB_Mean_PETAL ,UVB_SD_PETAL ,UVR_Mean_PETAL ,UVR_SD_PETAL 
ER10A13,9.625,0.178,511,133.227,100,0.248,536.583,89.431,42.935,79518.947,9317.028,82466.216,6335.66,15448.934,2743.192,18816.892,2872.926
ER10A26,9.465,0.309,660,150.678,50,0.215,700.775,116.796,29.119,49476.038,18533.886,55240.375,15762.041,13542.701,4007.615,15202.114,4137.095
ER10A38,9.53,0.229,685,142.807,141.421,0.243,588.732,98.122,32.703,60723.835,19156.271,72884.336,17076.343,14163.114,3250.712,16444.536,3270.609
ER10B16,9.847,0.217,624,130.451,50,0.218,597.667,99.611,33.644,66220.95,10924.675,73776.948,5951.137,19416.611,4250.916,23314.455,4110.38
ER11A13,9.699,0.238,511,151.286,50,0.217,696.72,116.12,27.198,65429.55,15896.809,73998.69,11192.156,16866.672,4225.046,19884.695,4884.312
ER12B16,9.743,0.239,738,102.174,100,0.199,513.334,85.556,14.689,44197.853,14781.21,60752.951,15543.921,17553.38,4150.899,19251.333,3853.02
ER13A16,9.833,0.259,615,94.624,50,0.266,355.447,59.241,30.945,51102.881,25082.847,58312.164,18383.147,19394.688,5181.107,23194.022,5134.641
ER13A26,9.616,0.196,665,160.714,50,0.24,670.568,111.761,30.421,47691.836,17374.05,55032.559,14490.523,15356.853,3033.578,18392.906,3039.087
ER15A26,9.609,0.243,644,221.14,50,0.244,907.705,151.284,44.817,70280.509,11328.09,79414.88,13302.843,15381.251,3660.508,18232.019,4360.249
ER15B13,9.83,0.215,598,135.069,100,0.246,548.861,91.477,39.028,47973.494,17493.565,54490.408,14309.233,19157.539,4154.685,22038.188,4440.919
ER16A26,9.588,0.311,595,81.859,50,0.253,323.253,53.876,25.908,43712.482,23966.25,55230.857,19616.903,15340.629,4720.992,18073.211,4703.176
ER16A43,9.582,0.303,481,153.97,50,0.269,572.426,95.404,45.594,52405.194,18255.522,59252.334,15329.917,15248.518,4812.131,17345.068,4861.966
ER17B16,9.554,0.163,626,102.421,50,0.296,345.555,57.593,34.74,53036.011,14743.487,63834.247,11848.458,14332.062,2278.126,17578.131,2308.251
ER18B26,9.625,0.217,703,107.169,70.711,0.2,535.632,89.272,30.235,47930.938,11919.822,53662.627,9059.614,15540.405,3143.112,17780.364,3027.726
ER18B63,9.662,0.204,631,137.403,141.421,0.199,689.966,114.994,30.535,58051.193,10850.176,66675.93,8921.985,16118.268,3336.328,18712.994,3341.817
ER19A66,9.72,0.266,689,118.989,141.421,0.21,566.767,94.461,18.284,43893.78,15825.645,58728.768,16499.811,17266.972,4475.487,21731.162,4207.948
ER1A26,9.516,0.29,605,154.988,70.711,0.206,752.317,125.386,40.811,52351.154,9943.049,59714.107,9221.42,14167.453,3808.909,17312.301,4444.92
ER20A26,9.608,0.269,721,161.217,141.421,0.206,782.789,130.465,37.329,61516.407,15870.281,71158.25,15270.553,15435.516,3783.951,17919.302,4179.276
